Entry number	Target word	Target cyrillic	Stem nr	Concept nr	Source concept	Russian stimulus	WOLD core list	LWT code	Similarity set	Language	Village	Region	Date (MM.YYYY)	Latitude	Longitude	Respondent	Full_reference	Supposed toplevel source	Suspected mediator	Reference	Comment	Confirmed
1624		гюмез		2	the arch	арка	Yes	7.58	2.6	Kumyk			11.2018	43	47	Dictionary at https://кумыкский-язык.рф/slovar/						
1839		арка		2	the arch	арка	Yes	7.58	2.4	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek1						
2006		арка		2	the arch	арка	Yes	7.58	2.4	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek2						
2168		арка		2	the arch	арка	Yes	7.58	2.4	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek3						
2315		арка		2	the arch	арка	Yes	7.58	2.4	Kajtak	Dzhavgat	Tabasaran	7.2018	42.0506	47.9375	Dzhavgat1						
2470		арсав		2	the arch	арка	Yes	7.58	2.7	Kajtak	Dzhibakhni	Tabasaran	7.2018	42.06051	47.90847	Dzhibakhni1						
2628		арка		2	the arch	арка	Yes	7.58	2.4	Tabasaran	Khapil’	Tabasaran	7.2018	41.98722	47.97731	Khapil1						
2794		чарх		2	the arch	арка	Yes	7.58	2.5	Tabasaran	Laka	Khiv	7.2018	41.75705	47.88114	Laka1						
2955		арка		2	the arch	арка	Yes	7.58	2.4	Lezgian	Tsinit	Khiv	7.2018	41.72324	48.00882	Tsinit1						
3130		арка		2	the arch	арка	Yes	7.58	2.4	Tabasaran	Yagdyg	Tabasaran	7.2018	41.980115	47.970578	Yagdyg2						
3290		чербен		2	the arch	арка	Yes	7.58	2.8	North Azerbaijani	Yersi	Tabasaran	7.2018	42.018844	48.012897	Yersi1						
3486	qaus			2	the arch				2.9	arabic	arabic_dictionary					arabic_dictionary						
3695	tağ			2	the arch				2.10	azerbaijani	azerbaijani_dictionary					azerbaijani_dictionary						
3868	нартол			2	the arch				2.11	chechen	chechen_dictionary					chechen_dictionary						
4026	taʁi			2	the arch				2.10	georgian	georgian_dictionary					georgian_dictionary						
4392	tagh			2	the arch				2.10	persian	persian_dictionary					persian_dictionary						
4858	арка			2	the arch				2.4	russian	russian_dictionary					russian_dictionary						
4	ʕašːt’i	г1ащт1и		3	the axe/ax	топор	Yes	9.25	3.1	Avar			11.2018	42.43056	46.66639	Dictionary at http://avar.me/						
210	balta	балта		3	the axe/ax	топор	Yes	9.25	3.2	Andi	Zilo	Botlikh	8.2018	42.731394	46.319223	Zilo1		Turkic				
211	anžidi	анжиди		3	the axe/ax	топор	Yes	9.25	3.3	Andi	Zilo	Botlikh	8.2018	42.731394	46.319223	Zilo1		Non loan				
386	anžidi	анжиди		3	the axe/ax	топор	Yes	9.25	3.3	Andi	Zilo	Botlikh	7.2017	42.731394	46.319223	Zilo2		Non loan				
549	anždi	анжди		3	the axe/ax	топор	Yes	9.25	3.3	Andi	Rikvani	Botlikh	7.2017	42.782304	46.319372	Rikvani1		Non loan				
688	kurt’a	курт1а		3	the axe/ax	топор	Yes	9.25	3.4	Botlikh	Botlikh	Botlikh	7.2017	42.667813	46.221451	Botlikh1		Non loan			Also: ‘hammer’	
853	iždi	ижди		3	the axe/ax	топор	Yes	9.25	3.3	Avar	Kusur	Rutul	7.2017	41.781293	46.949207	Kusur1		Unidentified				
1005	tabərzan			3	the axe/ax	топор	Yes	9.25	3.4	Archi			11.2018	42.0664	46.8678	(Chumakina 2009)	Chumakina, Marina. 2009. Archi vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1254 entries. (Available online at http://wold.clld.org/vocabulary/16, Accessed on 2018-11-11.)	Russian				
1140	õg			3	the axe/ax	топор	Yes	9.25	3.5	Bezhta			11.2018	42.1206	46.03319	(Comrie & Khalilov 2009)	Comrie, Bernard & Madzhid Khalilov. 2009. Bezhta vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1473 entries. (Available online at http://wold.clld.org/vocabulary/15, Accessed on 2018-11-11.) 	Non loan				
1437		як1		3	the axe/ax	топор	Yes	9.25	3.6	Lezgian	Arkhit	Khiv	7.2018	41.7405	47.95878	Arkhit1						
1600		балта		3	the axe/ax	топор	Yes	9.25	3.2	North Azerbaijani	Darvag	Tabasaran	7.2018	42.022285	48.065912	Darvag1						
1805		балта		3	the axe/ax	топор	Yes	9.25	3.2	Kumyk			11.2018	43	47	Dictionary at https://кумыкский-язык.рф/slovar/						
1983		як1		3	the axe/ax	топор	Yes	9.25	3.6	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek1						
2143		як1а		3	the axe/ax	топор	Yes	9.25	3.6	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek2						
2292		як1а		3	the axe/ax	топор	Yes	9.25	3.6	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek3						
2447		беретта		3	the axe/ax	топор	Yes	9.25	3.7	Kajtak	Dzhavgat	Tabasaran	7.2018	42.0506	47.9375	Dzhavgat1						
2604		беретта		3	the axe/ax	топор	Yes	9.25	3.7	Kajtak	Dzhibakhni	Tabasaran	7.2018	42.06051	47.90847	Dzhibakhni1						
2768		як1		3	the axe/ax	топор	Yes	9.25	3.6	Tabasaran	Khapil’	Tabasaran	7.2018	41.98722	47.97731	Khapil1						
2930		юк1		3	the axe/ax	топор	Yes	9.25	3.6	Tabasaran	Laka	Khiv	7.2018	41.75705	47.88114	Laka1						
3103		як1		3	the axe/ax	топор	Yes	9.25	3.6	Lezgian	Tsinit	Khiv	7.2018	41.72324	48.00882	Tsinit1						
3267		як1		3	the axe/ax	топор	Yes	9.25	3.6	Tabasaran	Yagdyg	Tabasaran	7.2018	41.980115	47.970578	Yagdyg2						
3429		балта		3	the axe/ax	топор	Yes	9.25	3.2	North Azerbaijani	Yersi	Tabasaran	7.2018	42.018844	48.012897	Yersi1						
3453	tabar			3	the axe/ax				3.8	arabic	arabic_dictionary					arabic_dictionary						
3487	fa's			3	the axe/ax				3.9	arabic	arabic_dictionary					arabic_dictionary						
3696	balta			3	the axe/ax				3.2	azerbaijani	azerbaijani_dictionary					azerbaijani_dictionary						
3960	диг			3	the axe/ax				3.10	chechen	chechen_dictionary					chechen_dictionary						
4115	tsuli			3	the axe/ax				3.11	georgian	georgian_dictionary					georgian_dictionary						
4386	tabar			3	the axe/ax				3.8	persian	persian_dictionary					persian_dictionary						
4443	zin			3	the axe/ax				3.12	persian	persian_dictionary					persian_dictionary						
4580	fas			3	the axe/ax				3.9	persian	persian_dictionary					persian_dictionary						
4670	nachakh			3	the axe/ax				3.13	persian	persian_dictionary					persian_dictionary						
4859	топор			3	the axe/ax				3.14	russian	russian_dictionary					russian_dictionary						
5	torʕo	торг1о		4	the ball	мяч, шар	Yes	12.83	4.1	Avar			11.2018	42.43056	46.66639	Dictionary at http://avar.me/						
212	torʔo	торъо		4	the ball	мяч, шар	Yes	12.83	4.1	Andi	Zilo	Botlikh	8.2018	42.731394	46.319223	Zilo1		Non loan				
387	torʔo	торъо		4	the ball	мяч, шар	Yes	12.83	4.1	Andi	Zilo	Botlikh	7.2017	42.731394	46.319223	Zilo2		Non loan				
550	torʔo	торъо		4	the ball	мяч, шар	Yes	12.83	4.1	Andi	Rikvani	Botlikh	7.2017	42.782304	46.319372	Rikvani1		Non loan				
689	k’ak’u	к1ак1у		4	the ball	мяч, шар	Yes	12.83	4.2	Botlikh	Botlikh	Botlikh	7.2017	42.667813	46.221451	Botlikh1		Non loan				
854	top	топ		4	the ball	мяч, шар	Yes	12.83	4.3	Avar	Kusur	Rutul	7.2017	41.781293	46.949207	Kusur1		Turkic				
1006	dump	думп		4	the ball	мяч, шар	Yes	12.83	4.4	Archi			11.2018	42.0664	46.8678	(Chumakina 2009)	Chumakina, Marina. 2009. Archi vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1254 entries. (Available online at http://wold.clld.org/vocabulary/16, Accessed on 2018-11-11.)	Unidentified				
1141	šar	шар		4	the ball	мяч, шар	Yes	12.83	4.5	Bezhta			11.2018	42.1206	46.03319	(Comrie & Khalilov 2009)	Comrie, Bernard & Madzhid Khalilov. 2009. Bezhta vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1473 entries. (Available online at http://wold.clld.org/vocabulary/15, Accessed on 2018-11-11.) 	Russian				
1378	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	Lezgian	Arkhit	Khiv	7.2018	41.7405	47.95878	Arkhit1						
1547	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	North Azerbaijani	Darvag	Tabasaran	7.2018	42.022285	48.065912	Darvag1						
1733	top	топ		4	the ball	мяч, шар	Yes	12.83	4.3	Kumyk			11.2018	43	47	Dictionary at https://кумыкский-язык.рф/slovar/						
1927	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek1						
2090	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek2						
2243	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek3						
2395		мяч		4	the ball	мяч, шар	Yes	12.83	4.4	Kajtak	Dzhavgat	Tabasaran	7.2018	42.0506	47.9375	Dzhavgat1						
2553	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	Kajtak	Dzhibakhni	Tabasaran	7.2018	42.06051	47.90847	Dzhibakhni1						
2715	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	Tabasaran	Khapil’	Tabasaran	7.2018	41.98722	47.97731	Khapil1						
2876	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	Tabasaran	Laka	Khiv	7.2018	41.75705	47.88114	Laka1						
3046	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	Lezgian	Tsinit	Khiv	7.2018	41.72324	48.00882	Tsinit1						
3215	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	Tabasaran	Yagdyg	Tabasaran	7.2018	41.980115	47.970578	Yagdyg2						
3376	tup	туп		4	the ball	мяч, шар	Yes	12.83	4.3	North Azerbaijani	Yersi	Tabasaran	7.2018	42.018844	48.012897	Yersi1						
3534	kura			4	the ball				4.6	arabic	arabic_dictionary					arabic_dictionary						
3834	топ			4	the ball				4.3	azerbaijani	azerbaijani_dictionary					azerbaijani_dictionary						
3901	буьрка			4	the ball				4.6	chechen	chechen_dictionary					chechen_dictionary						
4059	burti			4	the ball				4.7	georgian	georgian_dictionary					georgian_dictionary						
4444	toop			4	the ball				4.3	persian	persian_dictionary					persian_dictionary						
4445	toop-bazee			4	the ball				4.3	persian	persian_dictionary					persian_dictionary						
4860	мяч			4	the ball				4.4	russian	russian_dictionary					russian_dictionary						
5017	шар			4	the ball				4.8	russian	russian_dictionary					russian_dictionary						
6	čirma	чирма		5	the barrel	бочка	No		5.1	Avar			11.2018	42.43056	46.66639	Dictionary at http://avar.me/						
213	bočka	бочка		5	the barrel	бочка	No		5.2	Andi	Zilo	Botlikh	8.2018	42.731394	46.319223	Zilo1		Russian				
214	šalegi	шалеги		5	the barrel	бочка	No		5.3	Andi	Zilo	Botlikh	8.2018	42.731394	46.319223	Zilo1		Turkic				
388	vedra	ведра		5	the barrel	бочка	No		5.4	Andi	Zilo	Botlikh	7.2017	42.731394	46.319223	Zilo2		Russian				
389	šalegi	шалеги		5	the barrel	бочка	No		5.3	Andi	Zilo	Botlikh	7.2017	42.731394	46.319223	Zilo2		Turkic				
551	bočka	бочка		5	the barrel	бочка	No		5.2	Andi	Rikvani	Botlikh	7.2017	42.782304	46.319372	Rikvani1		Russian				
690	pučka	пучка		5	the barrel	бочка	No		5.2	Botlikh	Botlikh	Botlikh	7.2017	42.667813	46.221451	Botlikh1		Russian				
691	widra	видра		5	the barrel	бочка	No		5.4	Botlikh	Botlikh	Botlikh	7.2017	42.667813	46.221451	Botlikh1		Russian				
855	bočka	бочка		5	the barrel	бочка	No		5.2	Avar	Kusur	Rutul	7.2017	41.781293	46.949207	Kusur1		Russian				
1292		бочка		5	the barrel	бочка	No		5.2	Lezgian	Arkhit	Khiv	7.2018	41.7405	47.95878	Arkhit1						
1467		бучка		5	the barrel	бочка	No		5.2	North Azerbaijani	Darvag	Tabasaran	7.2018	42.022285	48.065912	Darvag1						
1629		бочка		5	the barrel	бочка	No		5.2	Kumyk			11.2018	43	47	Dictionary at https://кумыкский-язык.рф/slovar/						
1843		бочка		5	the barrel	бочка	No		5.2	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek1						
1844		челеге		5	the barrel	бочка	No		5.5	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek1						y
2010		челеге		5	the barrel	бочка	No		5.5	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek2						
2172		челеге		5	the barrel	бочка	No		5.5	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek3						
2319		бочка		5	the barrel	бочка	No		5.2	Kajtak	Dzhavgat	Tabasaran	7.2018	42.0506	47.9375	Dzhavgat1						
2474		чарма		5	the barrel	бочка	No		5.1	Kajtak	Dzhibakhni	Tabasaran	7.2018	42.06051	47.90847	Dzhibakhni1						
2632		челег		5	the barrel	бочка	No		5.5	Tabasaran	Khapil’	Tabasaran	7.2018	41.98722	47.97731	Khapil1						
2797		бочка		5	the barrel	бочка	No		5.2	Tabasaran	Laka	Khiv	7.2018	41.75705	47.88114	Laka1						
2959		бочка		5	the barrel	бочка	No		5.2	Lezgian	Tsinit	Khiv	7.2018	41.72324	48.00882	Tsinit1						
3134		бушка		5	the barrel	бочка	No		5.2	Tabasaran	Yagdyg	Tabasaran	7.2018	41.980115	47.970578	Yagdyg2						
3135		челег		5	the barrel	бочка	No		5.5	Tabasaran	Yagdyg	Tabasaran	7.2018	41.980115	47.970578	Yagdyg2						
3294		челег		5	the barrel	бочка	No		5.5	North Azerbaijani	Yersi	Tabasaran	7.2018	42.018844	48.012897	Yersi1						
3675	bermeel			5	the barrel				5.6	arabic	arabic_dictionary					arabic_dictionary						
3697	данышмаг			5	the barrel				5.7	azerbaijani	azerbaijani_dictionary					azerbaijani_dictionary						
4011	черма			5	the barrel				5.1	chechen	chechen_dictionary					chechen_dictionary						
4161	k'asri			5	the barrel				5.8	georgian	georgian_dictionary					georgian_dictionary						
4387	boshkeh			5	the barrel				5.9	persian	persian_dictionary					persian_dictionary						
4446	chelik			5	the barrel				5.5	persian	persian_dictionary					persian_dictionary						
4581	barmil			5	the barrel				5.6	persian	persian_dictionary					persian_dictionary						
4671	toop			5	the barrel				5.10	persian	persian_dictionary					persian_dictionary						
4742	khomreh			5	the barrel				5.11	persian	persian_dictionary					persian_dictionary						
4794	zarbi			5	the barrel				5.12	persian	persian_dictionary					persian_dictionary						
4825	tagh			5	the barrel				5.13	persian	persian_dictionary					persian_dictionary						
4838	looleh			5	the barrel				5.14	persian	persian_dictionary					persian_dictionary						
4861	бочка			5	the barrel				5.2	russian	russian_dictionary					russian_dictionary						
7	dergelo	дергело		6	the bat	летучая мышь	Yes	3.591	6.1	Avar			11.2018	42.43056	46.66639	Dictionary at http://avar.me/						
8	q’oxoɬalk’ač	къохьолъалкIач		6	the bat	летучая мышь	Yes	3.591	6.2	Avar			11.2018	42.43056	46.66639	Dictionary at http://avar.me/						
215	ɬalbot’i	лъалбот1и		6	the bat	летучая мышь	Yes	3.591	6.3	Andi	Zilo	Botlikh	8.2018	42.731394	46.319223	Zilo1		Non loan				
390	ɬalbot’i	лъалбот1и		6	the bat	летучая мышь	Yes	3.591	6.3	Andi	Zilo	Botlikh	7.2017	42.731394	46.319223	Zilo2		Non loan				
552	χakara	хакара		6	the bat	летучая мышь	Yes	3.591	6.4	Andi	Rikvani	Botlikh	7.2017	42.782304	46.319372	Rikvani1		Non loan			Used pejoratively to refer to a person.	
692	dergʷa	дергва		6	the bat	летучая мышь	Yes	3.591	6.5	Botlikh	Botlikh	Botlikh	7.2017	42.667813	46.221451	Botlikh1		Non loan				
856	q’exu	къехьу		6	the bat	летучая мышь	Yes	3.591	6.6	Avar	Kusur	Rutul	7.2017	41.781293	46.949207	Kusur1		Non loan				
1007	q'eɬːibožo			6	the bat	летучая мышь	Yes	3.591	6.7	Archi			11.2018	42.0664	46.8678	(Chumakina 2009)	Chumakina, Marina. 2009. Archi vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1254 entries. (Available online at http://wold.clld.org/vocabulary/16, Accessed on 2018-11-11.)	Non loan				
1142	kündäy			6	the bat	летучая мышь	Yes	3.591	6.8	Bezhta			11.2018	42.1206	46.03319	(Comrie & Khalilov 2009)	Comrie, Bernard & Madzhid Khalilov. 2009. Bezhta vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1473 entries. (Available online at http://wold.clld.org/vocabulary/15, Accessed on 2018-11-11.) 	Non loan				
1359		кьаркьулув		6	the bat	летучая мышь	Yes	3.591	6.9	Lezgian	Arkhit	Khiv	7.2018	41.7405	47.95878	Arkhit1						y
1530		учан сичан		6	the bat	летучая мышь	Yes	3.591	6.11	North Azerbaijani	Darvag	Tabasaran	7.2018	42.022285	48.065912	Darvag1						
1710		гечекъуш		6	the bat	летучая мышь	Yes	3.591	6.12	Kumyk			11.2018	43	47	Dictionary at https://кумыкский-язык.рф/slovar/						
1711		варканат		6	the bat	летучая мышь	Yes	3.591	6.13	Kumyk			11.2018	43	47	Dictionary at https://кумыкский-язык.рф/slovar/						
1909		чалабапай		6	the bat	летучая мышь	Yes	3.591	6.14	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek1						
2073		чяляпапай		6	the bat	летучая мышь	Yes	3.591	6.14	Tabasaran	Dyubek	Tabasaran	7.2018	42.0208	47.969528	Dyubek2						
2377		гьяргьялим		6	the bat	летучая мышь	Yes	3.591	6.15	Kajtak	Dzhavgat	Tabasaran	7.2018	42.0506	47.9375	Dzhavgat1						
2535		гьяргьяри		6	the bat	летучая мышь	Yes	3.591	6.15	Kajtak	Dzhibakhni	Tabasaran	7.2018	42.06051	47.90847	Dzhibakhni1						
2697		чяпрях		6	the bat	летучая мышь	Yes	3.591	6.16	Tabasaran	Khapil’	Tabasaran	7.2018	41.98722	47.97731	Khapil1						
2858		чапрахан		6	the bat	летучая мышь	Yes	3.591	6.16	Tabasaran	Laka	Khiv	7.2018	41.75705	47.88114	Laka1						
3027		кьаркьулув		6	the bat	летучая мышь	Yes	3.591	6.9	Lezgian	Tsinit	Khiv	7.2018	41.72324	48.00882	Tsinit1						
3197		чапраб		6	the bat	летучая мышь	Yes	3.591	6.16	Tabasaran	Yagdyg	Tabasaran	7.2018	41.980115	47.970578	Yagdyg2						
3357		геджегезен		6	the bat	летучая мышь	Yes	3.591	6.17	North Azerbaijani	Yersi	Tabasaran	7.2018	42.018844	48.012897	Yersi1						
3504	khoffaash			6	the bat				5	arabic	arabic_dictionary					arabic_dictionary						
3698	yarasa			6	the bat				2	azerbaijani	azerbaijani_dictionary					azerbaijani_dictionary						
4131	ʁamura			6	the bat				7	georgian	georgian_dictionary					georgian_dictionary						
4447	afrahanj			6	the bat				3	persian	persian_dictionary					persian_dictionary						
4582	chowgan			6	the bat				4	persian	persian_dictionary					persian_dictionary						
4672	khoffash			6	the bat				5	persian	persian_dictionary					persian_dictionary						
4743	morgh			6	the bat				6	persian	persian_dictionary					persian_dictionary						
4862	летучая мышь			6	the bat				1	russian	russian_dictionary					russian_dictionary						
9	gozo	гозо		7	the beak	клюв	Yes	4.241	7.1	Avar			11.2018	42.43056	46.66639	Dictionary at http://avar.me/						
216	k’ol	к1ол		7	the beak	клюв	Yes	4.241	7.2	Andi	Zilo	Botlikh	8.2018	42.731394	46.319223	Zilo1		Non loan				
391	k’ol	к1ол		7	the beak	клюв	Yes	4.241	7.2	Andi	Zilo	Botlikh	7.2017	42.731394	46.319223	Zilo2		Non loan				
553	mahar	магьар		7	the beak	клюв	Yes	4.241	7.3	Andi	Rikvani	Botlikh	7.2017	42.782304	46.319372	Rikvani1		Non loan			Also: ‘nose’	
693	gozo	гозо		7	the beak	клюв	Yes	4.241	7.1	Botlikh	Botlikh	Botlikh	7.2017	42.667813	46.221451	Botlikh1		Avar				
